Variable Name	Variable Description	Data File Name	Data File Description	Begin Year	EndYear	Component	Use Constraints
SEQN	Respondent sequence number.	HDL_I	Cholesterol - High-Density Lipoprotein (HDL)	2015	2016	Laboratory	None
LBDTCSI	Total Cholesterol (mmol/L)	TCHOL_I	Cholesterol - Total	2015	2016	Laboratory	None
LBXTC	Total Cholesterol (mg/dL)	TCHOL_I	Cholesterol - Total	2015	2016	Laboratory	None
SEQN	Respondent sequence number	TCHOL_I	Cholesterol - Total	2015	2016	Laboratory	None
LBXHCG	Hepatitis C Genotype	HEPC_I	Hepatitis C: RNA (HCV-RNA) and Hepatitis C Genotype	2015	2016	Laboratory	None
LBXHCR	Hepatitis C RNA	HEPC_I	Hepatitis C: RNA (HCV-RNA) and Hepatitis C Genotype	2015	2016	Laboratory	None
SEQN	Respondent sequence number.	HEPC_I	Hepatitis C: RNA (HCV-RNA) and Hepatitis C Genotype	2015	2016	Laboratory	None
LBDHRPLC	High-Sensitivity C-Reactive Protein (hs-CRP) Comment Code	HSCRP_I	High-Sensitivity C-Reactive Protein (hs-CRP)	2015	2016	Laboratory	None
LBXHSCRP	High-Sensitivity C-Reactive Protein (hs-CRP) (mg/L)	HSCRP_I	High-Sensitivity C-Reactive Protein (hs-CRP)	2015	2016	Laboratory	None
SEQN	Respondent sequence number.	HSCRP_I	High-Sensitivity C-Reactive Protein (hs-CRP)	2015	2016	Laboratory	None
LBDHCI	Hepatitis C Antibody (confirmed)	HEPC_I_R	Hepatitis C: Confirmed Antibody (INNO-LIA) - 2016	2016	2016	Laboratory	RDC Only
SEQN	Respondent sequence number.	HEPC_I_R	Hepatitis C: Confirmed Antibody (INNO-LIA) - 2016	2016	2016	Laboratory	RDC Only
VPSU	Variance PSU	HEPC_I_R	Hepatitis C: Confirmed Antibody (INNO-LIA) - 2016	2016	2016	Laboratory	RDC Only
VSTRA	Variance stratum	HEPC_I_R	Hepatitis C: Confirmed Antibody (INNO-LIA) - 2016	2016	2016	Laboratory	RDC Only
WTM1YR01	1 Year MEC Weight - Jackknife replicate weight 01	HEPC_I_R	Hepatitis C: Confirmed Antibody (INNO-LIA) - 2016	2016	2016	Laboratory	RDC Only
WTM1YR02	1 Year MEC Weight - Jackknife replicate weight 02	HEPC_I_R	Hepatitis C: Confirmed Antibody (INNO-LIA) - 2016	2016	2016	Laboratory	RDC Only
WTM1YR03	1 Year MEC Weight - Jackknife replicate weight 03	HEPC_I_R	Hepatitis C: Confirmed Antibody (INNO-LIA) - 2016	2016	2016	Laboratory	RDC Only
